trial,state,objective,loss_median,loss_p95,trained_epochs,stop_reason,duration,seed,warmstart,run,source_study,source_trial,source_run,failure_type,failure_message,param_learning_rate_max,param_learning_rate_min,param_sigma_residual_adaptive_sampling,param_weight_decay
0,COMPLETE,6.9214e-04,,,,,00h-00min-00sec,,True,,,,,,,1.2756e-03,5.3168e-06,5.0000e-02,1.7074e-09
1,COMPLETE,8.0045e-03,3.6229e-03,1.4606e-02,850,early_stopping,00h-27min-06sec,42,False,pinn_2026_07_22_14_45_55,,,,,,1.9564e-03,7.4717e-06,6.3879e-02,5.3950e-09
2,COMPLETE,3.5135e-03,1.7487e-03,5.8841e-03,1450,early_stopping,00h-46min-06sec,42,False,pinn_2026_07_22_15_13_01,,,,,,1.3225e-03,2.4828e-06,8.7956e-02,1.1431e-09
3,COMPLETE,9.5434e-03,4.9200e-03,1.5412e-02,750,early_stopping,00h-24min-03sec,42,False,pinn_2026_07_22_15_59_08,,,,,,2.9360e-03,5.3374e-06,9.7292e-02,1.0485e-09
4,COMPLETE,1.0032e-02,5.1056e-03,1.6422e-02,700,early_stopping,00h-22min-17sec,42,False,pinn_2026_07_22_16_23_10,,,,,,4.4439e-03,2.6845e-06,2.6506e-02,1.5199e-09
5,COMPLETE,2.0093e-03,9.5680e-04,3.5105e-03,1350,early_stopping,00h-42min-53sec,42,False,pinn_2026_07_22_16_45_27,,,,,,1.7248e-03,4.1397e-06,3.6211e-02,2.7036e-09
6,COMPLETE,5.1635e-02,2.1268e-03,8.5994e-03,800,pruned,00h-25min-33sec,42,False,pinn_2026_07_22_17_28_20,,,,,,2.9931e-03,2.4267e-06,4.2973e-02,1.9595e-09
7,COMPLETE,8.7423e-03,4.2490e-03,1.4971e-02,700,early_stopping,00h-22min-25sec,42,False,pinn_2026_07_22_17_53_53,,,,,,2.2641e-03,5.9395e-06,5.6281e-02,1.5837e-09
8,COMPLETE,1.0363e-02,5.1762e-03,1.7285e-02,700,early_stopping,00h-22min-25sec,42,False,pinn_2026_07_22_18_16_18,,,,,,2.8906e-03,2.1330e-06,2.5347e-02,4.0508e-09
9,COMPLETE,7.3842e-04,3.0582e-04,1.4317e-03,2400,epoch_budget,01h-16min-06sec,42,False,pinn_2026_07_22_18_38_42,,,,,,1.1236e-03,7.4527e-06,8.2756e-02,9.2392e-09
10,COMPLETE,2.8737e-03,1.3347e-03,5.1234e-03,800,pruned,00h-25min-41sec,42,False,pinn_2026_07_22_19_54_54,,,,,,1.0000e-03,5.8576e-06,2.9201e-02,2.5631e-09
